CH_1_s,CH_1_mv,
-0.000139200,-0.800,
-0.000139192,-0.600,
-0.000139184,-0.600,
-0.000139176,-0.600,
-0.000139168,-0.600,
-0.000139160,-0.600,
-0.000139152,-0.600,
-0.000139144,-0.600,
-0.000139136,-0.800,
-0.000139128,-0.800,
-0.000139120,-0.800,
-0.000139112,-0.600,
-0.000139104,-0.600,
-0.000139096,-0.600,
-0.000139088,-0.600,
-0.000139080,-0.800,
-0.000139072,-0.600,
-0.000139064,-0.600,
-0.000139056,-0.800,
-0.000139048,-0.600,
-0.000139040,-0.600,
-0.000139032,-0.600,
-0.000139024,-0.600,
-0.000139016,-0.600,
-0.000139008,-0.800,
-0.000139000,-0.800,
-0.000138992,-0.800,
-0.000138984,-0.800,
-0.000138976,-0.800,
-0.000138968,-0.800,
-0.000138960,-0.600,
-0.000138952,-0.800,
-0.000138944,-0.800,
-0.000138936,-0.600,
-0.000138928,-0.600,
-0.000138920,-0.600,
-0.000138912,-0.600,
-0.000138904,-0.600,
-0.000138896,-0.800,
-0.000138888,-0.600,
-0.000138880,-0.800,
-0.000138872,-0.800,
-0.000138864,-0.800,
-0.000138856,-0.800,
-0.000138848,-0.800,
-0.000138840,-0.600,
-0.000138832,-0.600,
-0.000138824,-0.600,
-0.000138816,-0.800,
-0.000138808,-0.800,
-0.000138800,-0.600,
-0.000138792,-0.600,
-0.000138784,-0.600,
-0.000138776,-0.800,
-0.000138768,-0.600,
-0.000138760,-0.600,
-0.000138752,-0.600,
-0.000138744,-0.600,
-0.000138736,-0.600,
-0.000138728,-0.600,
-0.000138720,-0.600,
-0.000138712,-0.600,
-0.000138704,-0.600,
-0.000138696,-0.600,
-0.000138688,-0.600,
-0.000138680,-0.600,
-0.000138672,-0.800,
-0.000138664,-0.600,
-0.000138656,-0.600,
-0.000138648,-0.600,
-0.000138640,-0.600,
-0.000138632,-0.600,
-0.000138624,-0.600,
-0.000138616,-0.600,
-0.000138608,-0.600,
-0.000138600,-0.800,
-0.000138592,-0.600,
-0.000138584,-0.600,
-0.000138576,-0.600,
-0.000138568,-0.600,
-0.000138560,-0.600,
-0.000138552,-0.600,
-0.000138544,-0.600,
-0.000138536,-0.600,
-0.000138528,-0.600,
-0.000138520,-0.600,
-0.000138512,-0.600,
-0.000138504,-0.600,
-0.000138496,-0.800,
-0.000138488,-0.600,
-0.000138480,-0.600,
-0.000138472,-0.600,
-0.000138464,-0.600,
-0.000138456,-0.600,
-0.000138448,-0.600,
-0.000138440,-0.600,
-0.000138432,-0.800,
-0.000138424,-0.600,
-0.000138416,-0.600,
-0.000138408,-0.600,
-0.000138400,-0.600,
-0.000138392,-0.600,
-0.000138384,-0.600,
-0.000138376,-0.600,
-0.000138368,-0.600,
-0.000138360,-0.600,
-0.000138352,-0.600,
-0.000138344,-0.600,
-0.000138336,-0.600,
-0.000138328,-0.600,
-0.000138320,-0.600,
-0.000138312,-0.600,
-0.000138304,-0.600,
-0.000138296,-0.800,
-0.000138288,-0.600,
-0.000138280,-0.600,
-0.000138272,-0.600,
-0.000138264,-0.600,
-0.000138256,-0.800,
-0.000138248,-0.400,
-0.000138240,-0.600,
-0.000138232,-0.600,
-0.000138224,-0.600,
-0.000138216,-0.400,
-0.000138208,-0.600,
-0.000138200,-0.600,
-0.000138192,-0.600,
-0.000138184,-0.600,
-0.000138176,-0.600,
-0.000138168,-0.600,
-0.000138160,-0.600,
-0.000138152,-0.600,
-0.000138144,-0.400,
-0.000138136,-0.600,
-0.000138128,-0.600,
-0.000138120,-0.600,
-0.000138112,-0.600,
-0.000138104,-0.800,
-0.000138096,-0.600,
-0.000138088,-0.600,
-0.000138080,-0.600,
-0.000138072,-0.600,
-0.000138064,-0.600,
-0.000138056,-0.600,
