CH_4_s,CH_4_mv,
-0.000136944,-254.000,
-0.000136936,-254.000,
-0.000136928,-254.000,
-0.000136920,-254.000,
-0.000136912,-254.000,
-0.000136904,-254.000,
-0.000136896,-254.000,
-0.000136888,-254.000,
-0.000136880,-254.000,
-0.000136872,-254.000,
-0.000136864,-254.000,
-0.000136856,-254.000,
-0.000136848,-254.000,
-0.000136840,-254.000,
-0.000136832,-254.000,
-0.000136824,-254.000,
-0.000136816,-254.000,
-0.000136808,-254.000,
-0.000136800,-254.000,
-0.000136792,-254.000,
-0.000136784,-254.000,
-0.000136776,-254.000,
-0.000136768,-254.000,
-0.000136760,-254.000,
-0.000136752,-254.000,
-0.000136744,-254.000,
-0.000136736,-254.000,
-0.000136728,-254.000,
-0.000136720,-254.000,
-0.000136712,-254.000,
-0.000136704,-254.000,
-0.000136696,-254.000,
-0.000136688,-254.000,
-0.000136680,-254.000,
-0.000136672,-254.000,
-0.000136664,-254.000,
-0.000136656,-254.000,
-0.000136648,-254.000,
-0.000136640,-254.000,
-0.000136632,-254.000,
-0.000136624,-254.000,
-0.000136616,-254.000,
-0.000136608,-254.000,
-0.000136600,-254.000,
-0.000136592,-254.000,
-0.000136584,-254.000,
-0.000136576,-254.000,
-0.000136568,-254.000,
-0.000136560,-254.000,
-0.000136552,-254.000,
-0.000136544,-254.000,
-0.000136536,-254.000,
-0.000136528,-254.000,
-0.000136520,-254.000,
-0.000136512,-254.000,
-0.000136504,-254.000,
-0.000136496,-254.000,
-0.000136488,-254.000,
-0.000136480,-254.000,
-0.000136472,-254.000,
-0.000136464,-254.000,
-0.000136456,-254.000,
-0.000136448,-254.000,
-0.000136440,-254.000,
-0.000136432,-254.000,
-0.000136424,-254.000,
-0.000136416,-254.000,
-0.000136408,-254.000,
-0.000136400,-254.000,
-0.000136392,-254.000,
-0.000136384,-254.000,
-0.000136376,-254.000,
-0.000136368,-254.000,
-0.000136360,-254.000,
-0.000136352,-254.000,
-0.000136344,-254.000,
-0.000136336,-254.000,
-0.000136328,-254.000,
-0.000136320,-254.000,
-0.000136312,-254.000,
-0.000136304,-254.000,
-0.000136296,-254.000,
-0.000136288,-254.000,
-0.000136280,-254.000,
-0.000136272,-254.000,
-0.000136264,-254.000,
-0.000136256,-254.000,
-0.000136248,-254.000,
-0.000136240,-254.000,
-0.000136232,-254.000,
-0.000136224,-254.000,
-0.000136216,-254.000,
-0.000136208,-254.000,
-0.000136200,-254.000,
-0.000136192,-254.000,
-0.000136184,-254.000,
-0.000136176,-254.000,
-0.000136168,-254.000,
-0.000136160,-254.000,
-0.000136152,-254.000,
-0.000136144,-254.000,
-0.000136136,-254.000,
-0.000136128,-254.000,
-0.000136120,-254.000,
-0.000136112,-254.000,
-0.000136104,-254.000,
-0.000136096,-254.000,
-0.000136088,-254.000,
-0.000136080,-254.000,
-0.000136072,-254.000,
-0.000136064,-254.000,
-0.000136056,-254.000,
-0.000136048,-254.000,
-0.000136040,-254.000,
-0.000136032,-254.000,
-0.000136024,-254.000,
-0.000136016,-254.000,
-0.000136008,-254.000,
-0.000136000,-254.000,
-0.000135992,-254.000,
-0.000135984,-254.000,
-0.000135976,-254.000,
-0.000135968,-254.000,
-0.000135960,-254.000,
-0.000135952,-254.000,
-0.000135944,-254.000,
-0.000135936,-254.000,
-0.000135928,-254.000,
-0.000135920,-254.000,
-0.000135912,-254.000,
-0.000135904,-254.000,
-0.000135896,-254.000,
-0.000135888,-254.000,
-0.000135880,-254.000,
-0.000135872,-254.000,
-0.000135864,-254.000,
-0.000135856,-254.000,
-0.000135848,-254.000,
-0.000135840,-254.000,
-0.000135832,-254.000,
-0.000135824,-254.000,
-0.000135816,-254.000,
-0.000135808,-254.000,
-0.000135800,-254.000,
-0.000135792,-254.000,
-0.000135784,-254.000,
-0.000135776,-254.000,
-0.000135768,-254.000,
-0.000135760,-254.000,
-0.000135752,-254.000,
-0.000135744,-254.000,
-0.000135736,-254.000,
-0.000135728,-254.000,
-0.000135720,-254.000,
-0.000135712,-254.000,
-0.000135704,-254.000,
-0.000135696,-254.000,
-0.000135688,-254.000,
-0.000135680,-254.000,
-0.000135672,-254.000,
-0.000135664,-254.000,
-0.000135656,-254.000,
-0.000135648,-254.000,
-0.000135640,-254.000,
-0.000135632,-254.000,
-0.000135624,-254.000,
-0.000135616,-254.000,
-0.000135608,-254.000,
-0.000135600,-254.000,
-0.000135592,-254.000,
-0.000135584,-254.000,
-0.000135576,-254.000,
-0.000135568,-254.000,
-0.000135560,-254.000,
-0.000135552,-254.000,
-0.000135544,-254.000,
-0.000135536,-254.000,
-0.000135528,-254.000,
-0.000135520,-254.000,
-0.000135512,-254.000,
-0.000135504,-254.000,
-0.000135496,-254.000,
-0.000135488,-254.000,
-0.000135480,-254.000,
-0.000135472,-254.000,
-0.000135464,-254.000,
-0.000135456,-254.000,
-0.000135448,-254.000,
-0.000135440,-254.000,
-0.000135432,-254.000,
-0.000135424,-254.000,
-0.000135416,-254.000,
-0.000135408,-254.000,
-0.000135400,-254.000,
-0.000135392,-254.000,
-0.000135384,-254.000,
-0.000135376,-254.000,
-0.000135368,-254.000,
-0.000135360,-254.000,
-0.000135352,-254.000,
-0.000135344,-254.000,
-0.000135336,-254.000,
-0.000135328,-254.000,
-0.000135320,-254.000,
-0.000135312,-254.000,
-0.000135304,-254.000,
-0.000135296,-254.000,
-0.000135288,-254.000,
-0.000135280,-254.000,
-0.000135272,-254.000,
-0.000135264,-254.000,
-0.000135256,-254.000,
-0.000135248,-254.000,
-0.000135240,-254.000,
-0.000135232,-254.000,
-0.000135224,-254.000,
-0.000135216,-254.000,
-0.000135208,-254.000,
-0.000135200,-254.000,
-0.000135192,-254.000,
-0.000135184,-254.000,
-0.000135176,-254.000,
-0.000135168,-254.000,
-0.000135160,-254.000,
-0.000135152,-254.000,
-0.000135144,-254.000,
-0.000135136,-254.000,
-0.000135128,-254.000,
-0.000135120,-254.000,
-0.000135112,-254.000,
-0.000135104,-254.000,
-0.000135096,-254.000,
-0.000135088,-254.000,
-0.000135080,-254.000,
-0.000135072,-254.000,
-0.000135064,-254.000,
-0.000135056,-254.000,
-0.000135048,-254.000,
-0.000135040,-254.000,
-0.000135032,-254.000,
-0.000135024,-254.000,
-0.000135016,-254.000,
-0.000135008,-254.000,
-0.000135000,-254.000,
-0.000134992,-254.000,
-0.000134984,-254.000,
-0.000134976,-254.000,
-0.000134968,-254.000,
-0.000134960,-254.000,
-0.000134952,-254.000,
-0.000134944,-254.000,
-0.000134936,-254.000,
-0.000134928,-254.000,
-0.000134920,-254.000,
-0.000134912,-254.000,
-0.000134904,-254.000,
-0.000134896,-254.000,
-0.000134888,-254.000,
-0.000134880,-254.000,
-0.000134872,-254.000,
-0.000134864,-254.000,
-0.000134856,-254.000,
-0.000134848,-254.000,
-0.000134840,-254.000,
-0.000134832,-254.000,
-0.000134824,-254.000,
-0.000134816,-254.000,
-0.000134808,-254.000,
-0.000134800,-254.000,
-0.000134792,-254.000,
-0.000134784,-254.000,
-0.000134776,-254.000,
-0.000134768,-254.000,
-0.000134760,-254.000,
-0.000134752,-254.000,
-0.000134744,-254.000,
-0.000134736,-254.000,
-0.000134728,-254.000,
-0.000134720,-254.000,
-0.000134712,-254.000,
-0.000134704,-254.000,
-0.000134696,-254.000,
-0.000134688,-254.000,
-0.000134680,-254.000,
-0.000134672,-254.000,
-0.000134664,-254.000,
-0.000134656,-254.000,
-0.000134648,-254.000,
-0.000134640,-254.000,
-0.000134632,-254.000,
-0.000134624,-254.000,
-0.000134616,-254.000,
-0.000134608,-254.000,
-0.000134600,-254.000,
-0.000134592,-254.000,
-0.000134584,-254.000,
-0.000134576,-254.000,
-0.000134568,-254.000,
-0.000134560,-254.000,
-0.000134552,-254.000,
-0.000134544,-254.000,
-0.000134536,-254.000,
-0.000134528,-254.000,
-0.000134520,-254.000,
-0.000134512,-254.000,
-0.000134504,-254.000,
-0.000134496,-254.000,
-0.000134488,-254.000,
-0.000134480,-254.000,
-0.000134472,-254.000,
-0.000134464,-254.000,
-0.000134456,-254.000,
-0.000134448,-254.000,
-0.000134440,-254.000,
-0.000134432,-254.000,
-0.000134424,-254.000,
-0.000134416,-254.000,
-0.000134408,-254.000,
-0.000134400,-254.000,
-0.000134392,-254.000,
-0.000134384,-254.000,
-0.000134376,-254.000,
-0.000134368,-254.000,
-0.000134360,-254.000,
-0.000134352,-254.000,
-0.000134344,-254.000,
-0.000134336,-254.000,
-0.000134328,-254.000,
-0.000134320,-254.000,
-0.000134312,-254.000,
-0.000134304,-254.000,
-0.000134296,-254.000,
-0.000134288,-254.000,
-0.000134280,-254.000,
-0.000134272,-254.000,
-0.000134264,-254.000,
-0.000134256,-254.000,
-0.000134248,-254.000,
-0.000134240,-254.000,
-0.000134232,-254.000,
-0.000134224,-254.000,
-0.000134216,-254.000,
-0.000134208,-254.000,
-0.000134200,-254.000,
-0.000134192,-254.000,
-0.000134184,-254.000,
-0.000134176,-254.000,
-0.000134168,-254.000,
-0.000134160,-254.000,
-0.000134152,-254.000,
-0.000134144,-254.000,
-0.000134136,-254.000,
-0.000134128,-254.000,
-0.000134120,-254.000,
-0.000134112,-254.000,
-0.000134104,-254.000,
-0.000134096,-254.000,
-0.000134088,-254.000,
-0.000134080,-254.000,
-0.000134072,-254.000,
-0.000134064,-254.000,
-0.000134056,-254.000,
-0.000134048,-254.000,
-0.000134040,-254.000,
-0.000134032,-254.000,
-0.000134024,-254.000,
-0.000134016,-254.000,
-0.000134008,-254.000,
-0.000134000,-254.000,
-0.000133992,-254.000,
-0.000133984,-254.000,
-0.000133976,-254.000,
-0.000133968,-254.000,
-0.000133960,-254.000,
-0.000133952,-254.000,
-0.000133944,-254.000,
-0.000133936,-254.000,
-0.000133928,-254.000,
-0.000133920,-254.000,
-0.000133912,-254.000,
-0.000133904,-254.000,
-0.000133896,-254.000,
-0.000133888,-254.000,
-0.000133880,-254.000,
-0.000133872,-254.000,
-0.000133864,-254.000,
-0.000133856,-254.000,
-0.000133848,-254.000,
-0.000133840,-254.000,
-0.000133832,-254.000,
-0.000133824,-254.000,
-0.000133816,-254.000,
-0.000133808,-254.000,
-0.000133800,-254.000,
-0.000133792,-254.000,
-0.000133784,-254.000,
-0.000133776,-254.000,
-0.000133768,-254.000,
-0.000133760,-254.000,
-0.000133752,-254.000,
-0.000133744,-254.000,
-0.000133736,-254.000,
-0.000133728,-254.000,
-0.000133720,-254.000,
-0.000133712,-254.000,
-0.000133704,-254.000,
-0.000133696,-254.000,
-0.000133688,-254.000,
-0.000133680,-254.000,
-0.000133672,-254.000,
-0.000133664,-254.000,
-0.000133656,-254.000,
-0.000133648,-254.000,
-0.000133640,-254.000,
-0.000133632,-254.000,
-0.000133624,-254.000,
-0.000133616,-254.000,
-0.000133608,-254.000,
-0.000133600,-254.000,
-0.000133592,-254.000,
-0.000133584,-254.000,
-0.000133576,-254.000,
-0.000133568,-254.000,
-0.000133560,-254.000,
-0.000133552,-254.000,
-0.000133544,-254.000,
-0.000133536,-254.000,
-0.000133528,-254.000,
-0.000133520,-254.000,
-0.000133512,-254.000,
-0.000133504,-254.000,
-0.000133496,-254.000,
-0.000133488,-254.000,
-0.000133480,-254.000,
-0.000133472,-254.000,
-0.000133464,-254.000,
-0.000133456,-254.000,
-0.000133448,-254.000,
-0.000133440,-254.000,
-0.000133432,-254.000,
-0.000133424,-254.000,
-0.000133416,-254.000,
-0.000133408,-254.000,
-0.000133400,-254.000,
-0.000133392,-254.000,
-0.000133384,-254.000,
-0.000133376,-254.000,
-0.000133368,-254.000,
-0.000133360,-254.000,
-0.000133352,-254.000,
-0.000133344,-254.000,
-0.000133336,-254.000,
-0.000133328,-254.000,
-0.000133320,-254.000,
-0.000133312,-254.000,
-0.000133304,-254.000,
-0.000133296,-254.000,
-0.000133288,-254.000,
-0.000133280,-254.000,
-0.000133272,-254.000,
-0.000133264,-254.000,
-0.000133256,-254.000,
-0.000133248,-254.000,
-0.000133240,-254.000,
-0.000133232,-254.000,
-0.000133224,-254.000,
-0.000133216,-254.000,
-0.000133208,-254.000,
-0.000133200,-254.000,
-0.000133192,-254.000,
-0.000133184,-254.000,
-0.000133176,-254.000,
-0.000133168,-254.000,
-0.000133160,-254.000,
-0.000133152,-254.000,
-0.000133144,-254.000,
-0.000133136,-254.000,
-0.000133128,-254.000,
-0.000133120,-254.000,
-0.000133112,-254.000,
-0.000133104,-254.000,
-0.000133096,-254.000,
-0.000133088,-254.000,
-0.000133080,-254.000,
-0.000133072,-254.000,
-0.000133064,-254.000,
-0.000133056,-254.000,
