Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C41,CL31B102KGFNNNE,TopLayer,FP-CL31-IPC_A,"179,2842mm","38,4808mm",0,"Ceramic Capacitor, Multilayer, Ceramic, 500V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1nF, Surface Mount, 1206 inch"
C77,CL31B105KBHNNNE,TopLayer,CAPC3216X180X20ML20,"55,3184mm","5,3324mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 1206 inch"
C73,CL31B104KBCNNNC,TopLayer,CAPC3216X190X55ML30T25,"44,1464mm","10,3130mm",270,50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C25,CL31B105KBHNNNE,TopLayer,CAPC3216X180X20ML20,"140,2391mm","7,2053mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 1206 inch"
C49,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9842mm","11,7808mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C42,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"179,2842mm","35,6477mm",0,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
C34,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"134,2319mm","11,9140mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C46,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6962mm","21,0843mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
U1,INA780BIDEKR,TopLayer,VQFN15_DEK_TEX,"168,5105mm","57,7734mm",0,85-V 16-bit I²C-output digital power monitor with 400-ÂµOhm EZShunt Technology 15-VQFN -40 to 125
C40,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4882mm","21,0843mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C4,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"138,4745mm","25,8976mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
